# file...... meters_outputs/meter671.csv
# date...... Tue Aug 22 16:09:58 2017
# user...... stephant
# host...... (null)
# target.... meter 42
# trigger... (none)
# interval.. 1
# limit..... -2147483648
# timestamp,measured_angle_A, measured_angle_B, measured_angle_C, measured_frequency_A, measured_frequency_B, measured_frequency_C, measured_frequency, measured_power.real, measured_power.imag, measured_power_A.real, measured_power_A.imag, measured_power_B.real, measured_power_B.imag, measured_power_C.real, measured_power_C.imag
2010-01-01 12:00:00.000000 PST,-0.0187107,+4.17284,+2.06912,+50.0594,+50.0635,+50.0721,+50.065,+1620.43,-846485,+591.813,-282822,+510.148,-275827,+518.466,-287835
2010-01-01 12:00:00.010000 PST,-0.0146377,+4.17705,+2.07361,+50.0582,+50.0624,+50.0714,+50.064,+1620.43,-846485,+591.813,-282822,+510.148,-275827,+518.466,-287835
2010-01-01 12:00:01 PST,-0.0146377,+4.17705,+2.07361,+50.0582,+50.0624,+50.0714,+50.064,+403843,-295398,+151412,-88997.7,+112640,-124601,+139792,-81799.5
2010-01-01 12:00:02 PST,-0.0146377,+4.17705,+2.07361,+50.0582,+50.0624,+50.0714,+50.064,+403852,-295403,+151413,-88999.6,+112639,-124600,+139800,-81803.6
2010-01-01 12:00:03 PST,-0.0146377,+4.17705,+2.07361,+50.0582,+50.0624,+50.0714,+50.064,+403843,-295397,+151412,-88997.8,+112639,-124600,+139792,-81799.7
2010-01-01 12:00:04 PST,-0.0146377,+4.17705,+2.07361,+50.0582,+50.0624,+50.0714,+50.064,+403848,-295400,+151412,-88998.8,+112638,-124600,+139797,-81802.1
2010-01-01 12:00:05 PST,-0.0146377,+4.17705,+2.07361,+50.0582,+50.0624,+50.0714,+50.064,+403845,-295398,+151412,-88998.2,+112638,-124599,+139794,-81800.6
2010-01-01 12:00:06 PST,-0.0146377,+4.17705,+2.07361,+50.0582,+50.0624,+50.0714,+50.064,+403847,-295399,+151412,-88998.5,+112638,-124599,+139796,-81801.5
2010-01-01 12:00:07 PST,-0.0146377,+4.17705,+2.07361,+50.0582,+50.0624,+50.0714,+50.064,+403845,-295399,+151412,-88998.3,+112638,-124599,+139795,-81800.9
2010-01-01 12:00:08 PST,-0.0146377,+4.17705,+2.07361,+50.0582,+50.0624,+50.0714,+50.064,+406883,-294451,+151399,-88992.3,+115662,-123623,+139821,-81835.6
2010-01-01 12:00:09 PST,-0.0146377,+4.17705,+2.07361,+50.0582,+50.0624,+50.0714,+50.064,+406885,-294449,+151400,-88989.2,+115663,-123623,+139822,-81836.7
2010-01-01 12:00:10 PST,-0.0146377,+4.17705,+2.07361,+50.0582,+50.0624,+50.0714,+50.064,+406886,-294449,+151400,-88989.2,+115663,-123623,+139823,-81836.9
2010-01-01 12:00:11 PST,-0.0146377,+4.17705,+2.07361,+50.0582,+50.0624,+50.0714,+50.064,+406885,-294449,+151400,-88989.2,+115663,-123623,+139823,-81836.8
2010-01-01 12:00:12 PST,-0.0146377,+4.17705,+2.07361,+50.0582,+50.0624,+50.0714,+50.064,+406885,-294449,+151400,-88989.2,+115662,-123623,+139823,-81836.9
2010-01-01 12:00:13 PST,-0.0146377,+4.17705,+2.07361,+50.0582,+50.0624,+50.0714,+50.064,+406885,-294449,+151400,-88989.2,+115662,-123623,+139823,-81836.8
2010-01-01 12:00:14 PST,-0.0146377,+4.17705,+2.07361,+50.0582,+50.0624,+50.0714,+50.064,+406885,-294449,+151400,-88989.2,+115662,-123623,+139823,-81836.8
2010-01-01 12:00:15 PST,-0.0146377,+4.17705,+2.07361,+50.0582,+50.0624,+50.0714,+50.064,+406885,-294449,+151400,-88989.2,+115662,-123622,+139823,-81836.8
2010-01-01 12:00:16 PST,-0.0146377,+4.17705,+2.07361,+50.0582,+50.0624,+50.0714,+50.064,+406885,-294449,+151400,-88989.2,+115662,-123622,+139823,-81836.8
2010-01-01 12:00:17 PST,-0.0146377,+4.17705,+2.07361,+50.0582,+50.0624,+50.0714,+50.064,+406885,-294449,+151400,-88989.2,+115662,-123622,+139823,-81836.8
2010-01-01 12:00:18 PST,-0.0146377,+4.17705,+2.07361,+50.0582,+50.0624,+50.0714,+50.064,+406885,-294449,+151400,-88989.2,+115662,-123622,+139823,-81836.8
2010-01-01 12:00:19 PST,-0.0146377,+4.17705,+2.07361,+50.0582,+50.0624,+50.0714,+50.064,+406885,-294449,+151400,-88989.2,+115662,-123622,+139823,-81836.8
2010-01-01 12:00:20 PST,-0.0146377,+4.17705,+2.07361,+50.0582,+50.0624,+50.0714,+50.064,+406885,-294449,+151400,-88989.2,+115662,-123622,+139823,-81836.8
2010-01-01 12:00:21 PST,-0.0146377,+4.17705,+2.07361,+50.0582,+50.0624,+50.0714,+50.064,+406885,-294449,+151400,-88989.2,+115662,-123622,+139823,-81836.8
2010-01-01 12:00:22 PST,-0.0146377,+4.17705,+2.07361,+50.0582,+50.0624,+50.0714,+50.064,+406885,-294449,+151400,-88989.2,+115662,-123622,+139823,-81836.8
2010-01-01 12:00:23 PST,-0.0146377,+4.17705,+2.07361,+50.0582,+50.0624,+50.0714,+50.064,+406885,-294449,+151400,-88989.2,+115662,-123622,+139823,-81836.8
2010-01-01 12:00:24 PST,-0.0146377,+4.17705,+2.07361,+50.0582,+50.0624,+50.0714,+50.064,+406885,-294449,+151400,-88989.2,+115662,-123622,+139823,-81836.8
2010-01-01 12:00:25 PST,-0.0146377,+4.17705,+2.07361,+50.0582,+50.0624,+50.0714,+50.064,+406885,-294449,+151400,-88989.2,+115662,-123622,+139823,-81836.8
2010-01-01 12:00:26 PST,-0.0146377,+4.17705,+2.07361,+50.0582,+50.0624,+50.0714,+50.064,+406885,-294449,+151400,-88989.2,+115662,-123622,+139823,-81836.8
2010-01-01 12:00:27 PST,-0.0146377,+4.17705,+2.07361,+50.0582,+50.0624,+50.0714,+50.064,+406885,-294449,+151400,-88989.2,+115662,-123622,+139823,-81836.8
2010-01-01 12:00:28 PST,-0.0146377,+4.17705,+2.07361,+50.0582,+50.0624,+50.0714,+50.064,+406885,-294449,+151400,-88989.2,+115662,-123622,+139823,-81836.8
2010-01-01 12:00:29 PST,-0.0146377,+4.17705,+2.07361,+50.0582,+50.0624,+50.0714,+50.064,+406885,-294449,+151400,-88989.2,+115662,-123622,+139823,-81836.8
2010-01-01 12:00:30 PST,-0.0146377,+4.17705,+2.07361,+50.0582,+50.0624,+50.0714,+50.064,+406885,-294449,+151400,-88989.2,+115662,-123622,+139823,-81836.8
2010-01-01 12:00:31 PST,-0.0146377,+4.17705,+2.07361,+50.0582,+50.0624,+50.0714,+50.064,+406885,-294449,+151400,-88989.2,+115662,-123622,+139823,-81836.8
2010-01-01 12:00:32 PST,-0.0146377,+4.17705,+2.07361,+50.0582,+50.0624,+50.0714,+50.064,+406885,-294449,+151400,-88989.2,+115662,-123622,+139823,-81836.8
2010-01-01 12:00:33 PST,-0.0146377,+4.17705,+2.07361,+50.0582,+50.0624,+50.0714,+50.064,+406885,-294449,+151400,-88989.2,+115662,-123622,+139823,-81836.8
2010-01-01 12:00:34 PST,-0.0146377,+4.17705,+2.07361,+50.0582,+50.0624,+50.0714,+50.064,+406885,-294449,+151400,-88989.2,+115662,-123622,+139823,-81836.8
2010-01-01 12:00:35 PST,-0.0146377,+4.17705,+2.07361,+50.0582,+50.0624,+50.0714,+50.064,+406885,-294449,+151400,-88989.2,+115662,-123622,+139823,-81836.8
2010-01-01 12:00:36 PST,-0.0146377,+4.17705,+2.07361,+50.0582,+50.0624,+50.0714,+50.064,+406885,-294449,+151400,-88989.2,+115662,-123622,+139823,-81836.8
2010-01-01 12:00:37 PST,-0.0146377,+4.17705,+2.07361,+50.0582,+50.0624,+50.0714,+50.064,+406885,-294449,+151400,-88989.2,+115662,-123622,+139823,-81836.8
2010-01-01 12:00:38 PST,-0.0146377,+4.17705,+2.07361,+50.0582,+50.0624,+50.0714,+50.064,+406885,-294449,+151400,-88989.2,+115662,-123622,+139823,-81836.8
2010-01-01 12:00:39 PST,-0.0146377,+4.17705,+2.07361,+50.0582,+50.0624,+50.0714,+50.064,+406885,-294449,+151400,-88989.2,+115662,-123622,+139823,-81836.8
2010-01-01 12:00:40 PST,-0.0146377,+4.17705,+2.07361,+50.0582,+50.0624,+50.0714,+50.064,+406885,-294449,+151400,-88989.2,+115662,-123622,+139823,-81836.8
2010-01-01 12:00:41 PST,-0.0146377,+4.17705,+2.07361,+50.0582,+50.0624,+50.0714,+50.064,+406885,-294449,+151400,-88989.2,+115662,-123622,+139823,-81836.8
2010-01-01 12:00:42 PST,-0.0146377,+4.17705,+2.07361,+50.0582,+50.0624,+50.0714,+50.064,+406885,-294449,+151400,-88989.2,+115662,-123622,+139823,-81836.8
2010-01-01 12:00:43 PST,-0.0146377,+4.17705,+2.07361,+50.0582,+50.0624,+50.0714,+50.064,+406885,-294449,+151400,-88989.2,+115662,-123622,+139823,-81836.8
2010-01-01 12:00:44 PST,-0.0146377,+4.17705,+2.07361,+50.0582,+50.0624,+50.0714,+50.064,+406885,-294449,+151400,-88989.2,+115662,-123622,+139823,-81836.8
2010-01-01 12:00:45 PST,-0.0146377,+4.17705,+2.07361,+50.0582,+50.0624,+50.0714,+50.064,+406885,-294449,+151400,-88989.2,+115662,-123622,+139823,-81836.8
2010-01-01 12:00:46 PST,-0.0146377,+4.17705,+2.07361,+50.0582,+50.0624,+50.0714,+50.064,+406885,-294449,+151400,-88989.2,+115662,-123622,+139823,-81836.8
2010-01-01 12:00:47 PST,-0.0146377,+4.17705,+2.07361,+50.0582,+50.0624,+50.0714,+50.064,+406885,-294449,+151400,-88989.2,+115662,-123622,+139823,-81836.8
2010-01-01 12:00:48 PST,-0.0146377,+4.17705,+2.07361,+50.0582,+50.0624,+50.0714,+50.064,+406885,-294449,+151400,-88989.2,+115662,-123622,+139823,-81836.8
2010-01-01 12:00:49 PST,-0.0146377,+4.17705,+2.07361,+50.0582,+50.0624,+50.0714,+50.064,+406885,-294449,+151400,-88989.2,+115662,-123622,+139823,-81836.8
2010-01-01 12:00:50 PST,-0.0146377,+4.17705,+2.07361,+50.0582,+50.0624,+50.0714,+50.064,+406885,-294449,+151400,-88989.2,+115662,-123622,+139823,-81836.8
2010-01-01 12:00:51 PST,-0.0146377,+4.17705,+2.07361,+50.0582,+50.0624,+50.0714,+50.064,+406885,-294449,+151400,-88989.2,+115662,-123622,+139823,-81836.8
2010-01-01 12:00:52 PST,-0.0146377,+4.17705,+2.07361,+50.0582,+50.0624,+50.0714,+50.064,+406885,-294449,+151400,-88989.2,+115662,-123622,+139823,-81836.8
2010-01-01 12:00:53 PST,-0.0146377,+4.17705,+2.07361,+50.0582,+50.0624,+50.0714,+50.064,+406885,-294449,+151400,-88989.2,+115662,-123622,+139823,-81836.8
2010-01-01 12:00:54 PST,-0.0146377,+4.17705,+2.07361,+50.0582,+50.0624,+50.0714,+50.064,+406885,-294449,+151400,-88989.2,+115662,-123622,+139823,-81836.8
2010-01-01 12:00:55 PST,-0.0146377,+4.17705,+2.07361,+50.0582,+50.0624,+50.0714,+50.064,+406885,-294449,+151400,-88989.2,+115662,-123622,+139823,-81836.8
2010-01-01 12:00:56 PST,-0.0146377,+4.17705,+2.07361,+50.0582,+50.0624,+50.0714,+50.064,+406885,-294449,+151400,-88989.2,+115662,-123622,+139823,-81836.8
2010-01-01 12:00:57 PST,-0.0146377,+4.17705,+2.07361,+50.0582,+50.0624,+50.0714,+50.064,+406885,-294449,+151400,-88989.2,+115662,-123622,+139823,-81836.8
2010-01-01 12:00:58 PST,-0.0146377,+4.17705,+2.07361,+50.0582,+50.0624,+50.0714,+50.064,+406885,-294449,+151400,-88989.2,+115662,-123622,+139823,-81836.8
2010-01-01 12:00:59 PST,-0.0146377,+4.17705,+2.07361,+50.0582,+50.0624,+50.0714,+50.064,+410314,-294346,+154803,-88831.3,+115699,-123689,+139812,-81825.6
2010-01-01 12:01:00 PST,-0.0146377,+4.17705,+2.07361,+50.0582,+50.0624,+50.0714,+50.064,+410306,-294357,+154799,-88845.1,+115699,-123690,+139808,-81822.8
2010-01-01 12:01:01 PST,-0.0146377,+4.17705,+2.07361,+50.0582,+50.0624,+50.0714,+50.064,+410306,-294357,+154799,-88845.1,+115699,-123690,+139808,-81822.7
2010-01-01 12:01:02 PST,-0.0146377,+4.17705,+2.07361,+50.0582,+50.0624,+50.0714,+50.064,+410306,-294358,+154799,-88845.2,+115699,-123690,+139808,-81822.7
2010-01-01 12:01:03 PST,-0.0146377,+4.17705,+2.07361,+50.0582,+50.0624,+50.0714,+50.064,+410306,-294358,+154799,-88845.2,+115699,-123690,+139808,-81822.7
2010-01-01 12:01:04 PST,-0.0146377,+4.17705,+2.07361,+50.0582,+50.0624,+50.0714,+50.064,+410306,-294358,+154799,-88845.2,+115699,-123690,+139808,-81822.7
2010-01-01 12:01:05 PST,-0.0146377,+4.17705,+2.07361,+50.0582,+50.0624,+50.0714,+50.064,+410306,-294358,+154799,-88845.2,+115699,-123690,+139808,-81822.7
2010-01-01 12:01:06 PST,-0.0146377,+4.17705,+2.07361,+50.0582,+50.0624,+50.0714,+50.064,+410306,-294358,+154799,-88845.2,+115699,-123690,+139808,-81822.7
2010-01-01 12:01:07 PST,-0.0146377,+4.17705,+2.07361,+50.0582,+50.0624,+50.0714,+50.064,+410306,-294358,+154799,-88845.2,+115699,-123690,+139808,-81822.7
2010-01-01 12:01:08 PST,-0.0146377,+4.17705,+2.07361,+50.0582,+50.0624,+50.0714,+50.064,+410306,-294358,+154799,-88845.2,+115699,-123690,+139808,-81822.7
2010-01-01 12:01:09 PST,-0.0146377,+4.17705,+2.07361,+50.0582,+50.0624,+50.0714,+50.064,+410306,-294358,+154799,-88845.2,+115699,-123690,+139808,-81822.7
2010-01-01 12:01:10 PST,-0.0146377,+4.17705,+2.07361,+50.0582,+50.0624,+50.0714,+50.064,+410306,-294358,+154799,-88845.2,+115699,-123690,+139808,-81822.7
2010-01-01 12:01:11 PST,-0.0146377,+4.17705,+2.07361,+50.0582,+50.0624,+50.0714,+50.064,+410306,-294358,+154799,-88845.2,+115699,-123690,+139808,-81822.7
2010-01-01 12:01:12 PST,-0.0146377,+4.17705,+2.07361,+50.0582,+50.0624,+50.0714,+50.064,+410306,-294358,+154799,-88845.2,+115699,-123690,+139808,-81822.7
2010-01-01 12:01:13 PST,-0.0146377,+4.17705,+2.07361,+50.0582,+50.0624,+50.0714,+50.064,+410306,-294358,+154799,-88845.2,+115699,-123690,+139808,-81822.7
2010-01-01 12:01:14 PST,-0.0146377,+4.17705,+2.07361,+50.0582,+50.0624,+50.0714,+50.064,+410306,-294358,+154799,-88845.2,+115699,-123690,+139808,-81822.7
2010-01-01 12:01:15 PST,-0.0146377,+4.17705,+2.07361,+50.0582,+50.0624,+50.0714,+50.064,+410306,-294358,+154799,-88845.2,+115699,-123690,+139808,-81822.7
2010-01-01 12:01:16 PST,-0.0146377,+4.17705,+2.07361,+50.0582,+50.0624,+50.0714,+50.064,+410306,-294358,+154799,-88845.2,+115699,-123690,+139808,-81822.7
2010-01-01 12:01:17 PST,-0.0146377,+4.17705,+2.07361,+50.0582,+50.0624,+50.0714,+50.064,+410306,-294358,+154799,-88845.2,+115699,-123690,+139808,-81822.7
2010-01-01 12:01:18 PST,-0.0146377,+4.17705,+2.07361,+50.0582,+50.0624,+50.0714,+50.064,+410306,-294358,+154799,-88845.2,+115699,-123690,+139808,-81822.7
2010-01-01 12:01:19 PST,-0.0146377,+4.17705,+2.07361,+50.0582,+50.0624,+50.0714,+50.064,+410306,-294358,+154799,-88845.2,+115699,-123690,+139808,-81822.7
2010-01-01 12:01:20 PST,-0.0146377,+4.17705,+2.07361,+50.0582,+50.0624,+50.0714,+50.064,+410306,-294358,+154799,-88845.2,+115699,-123690,+139808,-81822.7
2010-01-01 12:01:21 PST,-0.0146377,+4.17705,+2.07361,+50.0582,+50.0624,+50.0714,+50.064,+410306,-294358,+154799,-88845.2,+115699,-123690,+139808,-81822.7
2010-01-01 12:01:22 PST,-0.0146377,+4.17705,+2.07361,+50.0582,+50.0624,+50.0714,+50.064,+410306,-294358,+154799,-88845.2,+115699,-123690,+139808,-81822.7
2010-01-01 12:01:23 PST,-0.0146377,+4.17705,+2.07361,+50.0582,+50.0624,+50.0714,+50.064,+410306,-294358,+154799,-88845.2,+115699,-123690,+139808,-81822.7
2010-01-01 12:01:24 PST,-0.0146377,+4.17705,+2.07361,+50.0582,+50.0624,+50.0714,+50.064,+410306,-294358,+154799,-88845.2,+115699,-123690,+139808,-81822.7
2010-01-01 12:01:25 PST,-0.0146377,+4.17705,+2.07361,+50.0582,+50.0624,+50.0714,+50.064,+410306,-294358,+154799,-88845.2,+115699,-123690,+139808,-81822.7
2010-01-01 12:01:26 PST,-0.0146377,+4.17705,+2.07361,+50.0582,+50.0624,+50.0714,+50.064,+410306,-294358,+154799,-88845.2,+115699,-123690,+139808,-81822.7
2010-01-01 12:01:27 PST,-0.0146377,+4.17705,+2.07361,+50.0582,+50.0624,+50.0714,+50.064,+410306,-294358,+154799,-88845.2,+115699,-123690,+139808,-81822.7
2010-01-01 12:01:28 PST,-0.0146377,+4.17705,+2.07361,+50.0582,+50.0624,+50.0714,+50.064,+410306,-294358,+154799,-88845.2,+115699,-123690,+139808,-81822.7
2010-01-01 12:01:29 PST,-0.0146377,+4.17705,+2.07361,+50.0582,+50.0624,+50.0714,+50.064,+410306,-294358,+154799,-88845.2,+115699,-123690,+139808,-81822.7
2010-01-01 12:01:30 PST,-0.0146377,+4.17705,+2.07361,+50.0582,+50.0624,+50.0714,+50.064,+410306,-294358,+154799,-88845.2,+115699,-123690,+139808,-81822.7
2010-01-01 12:01:31 PST,-0.0146377,+4.17705,+2.07361,+50.0582,+50.0624,+50.0714,+50.064,+410306,-294358,+154799,-88845.2,+115699,-123690,+139808,-81822.7
2010-01-01 12:01:32 PST,-0.0146377,+4.17705,+2.07361,+50.0582,+50.0624,+50.0714,+50.064,+410306,-294358,+154799,-88845.2,+115699,-123690,+139808,-81822.7
2010-01-01 12:01:33 PST,-0.0146377,+4.17705,+2.07361,+50.0582,+50.0624,+50.0714,+50.064,+410306,-294358,+154799,-88845.2,+115699,-123690,+139808,-81822.7
2010-01-01 12:01:34 PST,-0.0146377,+4.17705,+2.07361,+50.0582,+50.0624,+50.0714,+50.064,+410306,-294358,+154799,-88845.2,+115699,-123690,+139808,-81822.7
2010-01-01 12:01:35 PST,-0.0146377,+4.17705,+2.07361,+50.0582,+50.0624,+50.0714,+50.064,+410306,-294358,+154799,-88845.2,+115699,-123690,+139808,-81822.7
2010-01-01 12:01:36 PST,-0.0146377,+4.17705,+2.07361,+50.0582,+50.0624,+50.0714,+50.064,+410306,-294358,+154799,-88845.2,+115699,-123690,+139808,-81822.7
2010-01-01 12:01:37 PST,-0.0146377,+4.17705,+2.07361,+50.0582,+50.0624,+50.0714,+50.064,+410306,-294358,+154799,-88845.2,+115699,-123690,+139808,-81822.7
2010-01-01 12:01:38 PST,-0.0146377,+4.17705,+2.07361,+50.0582,+50.0624,+50.0714,+50.064,+410306,-294358,+154799,-88845.2,+115699,-123690,+139808,-81822.7
2010-01-01 12:01:39 PST,-0.0146377,+4.17705,+2.07361,+50.0582,+50.0624,+50.0714,+50.064,+410306,-294358,+154799,-88845.2,+115699,-123690,+139808,-81822.7
2010-01-01 12:01:40 PST,-0.0146377,+4.17705,+2.07361,+50.0582,+50.0624,+50.0714,+50.064,+410306,-294358,+154799,-88845.2,+115699,-123690,+139808,-81822.7
2010-01-01 12:01:41 PST,-0.0146377,+4.17705,+2.07361,+50.0582,+50.0624,+50.0714,+50.064,+410306,-294358,+154799,-88845.2,+115699,-123690,+139808,-81822.7
2010-01-01 12:01:42 PST,-0.0146377,+4.17705,+2.07361,+50.0582,+50.0624,+50.0714,+50.064,+410306,-294358,+154799,-88845.2,+115699,-123690,+139808,-81822.7
2010-01-01 12:01:43 PST,-0.0146377,+4.17705,+2.07361,+50.0582,+50.0624,+50.0714,+50.064,+410306,-294358,+154799,-88845.2,+115699,-123690,+139808,-81822.7
2010-01-01 12:01:44 PST,-0.0146377,+4.17705,+2.07361,+50.0582,+50.0624,+50.0714,+50.064,+410306,-294358,+154799,-88845.2,+115699,-123690,+139808,-81822.7
2010-01-01 12:01:45 PST,-0.0146377,+4.17705,+2.07361,+50.0582,+50.0624,+50.0714,+50.064,+410306,-294358,+154799,-88845.2,+115699,-123690,+139808,-81822.7
2010-01-01 12:01:46 PST,-0.0146377,+4.17705,+2.07361,+50.0582,+50.0624,+50.0714,+50.064,+410306,-294358,+154799,-88845.2,+115699,-123690,+139808,-81822.7
2010-01-01 12:01:47 PST,-0.0146377,+4.17705,+2.07361,+50.0582,+50.0624,+50.0714,+50.064,+410306,-294358,+154799,-88845.2,+115699,-123690,+139808,-81822.7
2010-01-01 12:01:48 PST,-0.0146377,+4.17705,+2.07361,+50.0582,+50.0624,+50.0714,+50.064,+410306,-294358,+154799,-88845.2,+115699,-123690,+139808,-81822.7
2010-01-01 12:01:49 PST,-0.0146377,+4.17705,+2.07361,+50.0582,+50.0624,+50.0714,+50.064,+410306,-294358,+154799,-88845.2,+115699,-123690,+139808,-81822.7
2010-01-01 12:01:50 PST,-0.0146377,+4.17705,+2.07361,+50.0582,+50.0624,+50.0714,+50.064,+410306,-294358,+154799,-88845.2,+115699,-123690,+139808,-81822.7
2010-01-01 12:01:51 PST,-0.0146377,+4.17705,+2.07361,+50.0582,+50.0624,+50.0714,+50.064,+410306,-294358,+154799,-88845.2,+115699,-123690,+139808,-81822.7
2010-01-01 12:01:52 PST,-0.0146377,+4.17705,+2.07361,+50.0582,+50.0624,+50.0714,+50.064,+410306,-294358,+154799,-88845.2,+115699,-123690,+139808,-81822.7
2010-01-01 12:01:53 PST,-0.0146377,+4.17705,+2.07361,+50.0582,+50.0624,+50.0714,+50.064,+410306,-294358,+154799,-88845.2,+115699,-123690,+139808,-81822.7
2010-01-01 12:01:54 PST,-0.0146377,+4.17705,+2.07361,+50.0582,+50.0624,+50.0714,+50.064,+410306,-294358,+154799,-88845.2,+115699,-123690,+139808,-81822.7
2010-01-01 12:01:55 PST,-0.0146377,+4.17705,+2.07361,+50.0582,+50.0624,+50.0714,+50.064,+410306,-294358,+154799,-88845.2,+115699,-123690,+139808,-81822.7
2010-01-01 12:01:56 PST,-0.0146377,+4.17705,+2.07361,+50.0582,+50.0624,+50.0714,+50.064,+410306,-294358,+154799,-88845.2,+115699,-123690,+139808,-81822.7
2010-01-01 12:01:57 PST,-0.0146377,+4.17705,+2.07361,+50.0582,+50.0624,+50.0714,+50.064,+410306,-294358,+154799,-88845.2,+115699,-123690,+139808,-81822.7
2010-01-01 12:01:58 PST,-0.0146377,+4.17705,+2.07361,+50.0582,+50.0624,+50.0714,+50.064,+410306,-294358,+154799,-88845.2,+115699,-123690,+139808,-81822.7
2010-01-01 12:01:59 PST,-0.0146377,+4.17705,+2.07361,+50.0582,+50.0624,+50.0714,+50.064,+410306,-294358,+154799,-88845.2,+115699,-123690,+139808,-81822.7
2010-01-01 12:02:00 PST,-0.0146377,+4.17705,+2.07361,+50.0582,+50.0624,+50.0714,+50.064,+410306,-294358,+154799,-88845.2,+115699,-123690,+139808,-81822.7
2010-01-01 12:02:01 PST,-0.0146377,+4.17705,+2.07361,+50.0582,+50.0624,+50.0714,+50.064,+410306,-294358,+154799,-88845.2,+115699,-123690,+139808,-81822.7
2010-01-01 12:02:02 PST,-0.0146377,+4.17705,+2.07361,+50.0582,+50.0624,+50.0714,+50.064,+410306,-294358,+154799,-88845.2,+115699,-123690,+139808,-81822.7
2010-01-01 12:02:03 PST,-0.0146377,+4.17705,+2.07361,+50.0582,+50.0624,+50.0714,+50.064,+410306,-294358,+154799,-88845.2,+115699,-123690,+139808,-81822.7
2010-01-01 12:02:04 PST,-0.0146377,+4.17705,+2.07361,+50.0582,+50.0624,+50.0714,+50.064,+410306,-294358,+154799,-88845.2,+115699,-123690,+139808,-81822.7
2010-01-01 12:02:05 PST,-0.0146377,+4.17705,+2.07361,+50.0582,+50.0624,+50.0714,+50.064,+410306,-294358,+154799,-88845.2,+115699,-123690,+139808,-81822.7
2010-01-01 12:02:06 PST,-0.0146377,+4.17705,+2.07361,+50.0582,+50.0624,+50.0714,+50.064,+410306,-294358,+154799,-88845.2,+115699,-123690,+139808,-81822.7
2010-01-01 12:02:07 PST,-0.0146377,+4.17705,+2.07361,+50.0582,+50.0624,+50.0714,+50.064,+410306,-294358,+154799,-88845.2,+115699,-123690,+139808,-81822.7
2010-01-01 12:02:08 PST,-0.0146377,+4.17705,+2.07361,+50.0582,+50.0624,+50.0714,+50.064,+410306,-294358,+154799,-88845.2,+115699,-123690,+139808,-81822.7
2010-01-01 12:02:09 PST,-0.0146377,+4.17705,+2.07361,+50.0582,+50.0624,+50.0714,+50.064,+413343,-293405,+154786,-88839.3,+118723,-122709,+139833,-81857
2010-01-01 12:02:10 PST,-0.0146377,+4.17705,+2.07361,+50.0582,+50.0624,+50.0714,+50.064,+413346,-293403,+154787,-88836.2,+118723,-122708,+139835,-81858.4
2010-01-01 12:02:11 PST,-0.0146377,+4.17705,+2.07361,+50.0582,+50.0624,+50.0714,+50.064,+413346,-293403,+154787,-88836.2,+118723,-122708,+139835,-81858.4
2010-01-01 12:02:12 PST,-0.0146377,+4.17705,+2.07361,+50.0582,+50.0624,+50.0714,+50.064,+413346,-293402,+154787,-88836.2,+118723,-122708,+139835,-81858.4
2010-01-01 12:02:13 PST,-0.0146377,+4.17705,+2.07361,+50.0582,+50.0624,+50.0714,+50.064,+413345,-293402,+154787,-88836.2,+118723,-122708,+139835,-81858.4
2010-01-01 12:02:14 PST,-0.0146377,+4.17705,+2.07361,+50.0582,+50.0624,+50.0714,+50.064,+413345,-293402,+154787,-88836.2,+118723,-122708,+139835,-81858.4
2010-01-01 12:02:15 PST,-0.0146377,+4.17705,+2.07361,+50.0582,+50.0624,+50.0714,+50.064,+413345,-293402,+154787,-88836.2,+118723,-122708,+139835,-81858.4
2010-01-01 12:02:16 PST,-0.0146377,+4.17705,+2.07361,+50.0582,+50.0624,+50.0714,+50.064,+413345,-293402,+154787,-88836.2,+118723,-122708,+139835,-81858.4
2010-01-01 12:02:17 PST,-0.0146377,+4.17705,+2.07361,+50.0582,+50.0624,+50.0714,+50.064,+413345,-293402,+154787,-88836.2,+118723,-122708,+139835,-81858.4
2010-01-01 12:02:18 PST,-0.0146377,+4.17705,+2.07361,+50.0582,+50.0624,+50.0714,+50.064,+413345,-293402,+154787,-88836.2,+118723,-122708,+139835,-81858.4
2010-01-01 12:02:19 PST,-0.0146377,+4.17705,+2.07361,+50.0582,+50.0624,+50.0714,+50.064,+413345,-293402,+154787,-88836.2,+118723,-122708,+139835,-81858.4
2010-01-01 12:02:20 PST,-0.0146377,+4.17705,+2.07361,+50.0582,+50.0624,+50.0714,+50.064,+413345,-293402,+154787,-88836.2,+118723,-122708,+139835,-81858.4
2010-01-01 12:02:21 PST,-0.0146377,+4.17705,+2.07361,+50.0582,+50.0624,+50.0714,+50.064,+413345,-293402,+154787,-88836.2,+118723,-122708,+139835,-81858.4
2010-01-01 12:02:22 PST,-0.0146377,+4.17705,+2.07361,+50.0582,+50.0624,+50.0714,+50.064,+413345,-293402,+154787,-88836.2,+118723,-122708,+139835,-81858.4
2010-01-01 12:02:23 PST,-0.0146377,+4.17705,+2.07361,+50.0582,+50.0624,+50.0714,+50.064,+413345,-293402,+154787,-88836.2,+118723,-122708,+139835,-81858.4
2010-01-01 12:02:24 PST,-0.0146377,+4.17705,+2.07361,+50.0582,+50.0624,+50.0714,+50.064,+416614,-293272,+154823,-88884.5,+118715,-122693,+143076,-81693.9
